Ubigeo,Densidad
90722,13.20
090713,22.84
90721,6.99
090714,19.83
090715,22.17
090716,6.43
90723,#DIV/0!
090717,16.92
090718,11.67
090719,34.61
090720,16.37
100000,19.35
100100,81.68
100101,710.33
100102,617.13
100103,16.50
100104,30.91
100105,21.08
100106,19.96
100107,32.79
100113,14.27
100108,10.48
100109,43.01
100110,25.33
100111,569.06
100112,75.66
100200,32.30
100201,72.27
100202,15.07
100203,9.95
100204,42.30
100205,31.83
100206,12.90
100207,20.11
100208,80.52
100300,22.66
100301,39.72
100307,22.28
100311,8.75
100313,20.35
100316,36.12
100317,70.93
100321,53.00
100322,25.55
100323,62.17
100400,9.50
100401,10.01
100402,14.53
100403,2.30
100404,22.50
100500,16.55
100501,32.61
100502,8.58
100503,42.62
100504,23.64
100505,16.61
100506,32.24
100507,8.13
100508,47.83
100509,39.82
100510,20.59
100511,7.11
100600,25.85
100608,128.00
100601,198.75
100602,8.75
100603,31.03
100604,10.44
100605,89.51
100606,13.12
100609,#DIV/0!
100607,4.85
100610,8.90
100700,5.55
100701,20.07
100702,2.53
100704,3.17
100703,24.26
100705,2.19
100800,16.02
100801,11.04
100802,9.15
100803,44.71
100804,74.19
100900,3.15
100901,4.38
100902,2.14
100903,6.03
100904,2.44
100905,3.13
101000,10.17
101001,9.32
101002,12.78
101003,16.57
101004,7.70
101005,21.27
101006,15.43
101007,7.21
101100,27.37
101101,23.36
101102,38.53
101103,65.29
101104,25.87
101105,30.83
101106,31.26
101107,15.45
101108,33.18
110000,39.93
110100,49.60
110101,169.23
110102,403.82
110103,241.35
110104,3.10
110105,217.97
110106,3179.24
110107,193.79
110108,39.52
110109,19.25
110110,532.54
110111,9.93
110112,141.17
110113,672.71
110114,0.87
110200,75.70
110201,278.78
110202,26.03
110203,4.86
110204,178.21
110205,15.66
110206,132.43
110207,299.54
110208,2.26
110209,4.47
110210,1710.53
110211,247.00
110300,13.21
110301,22.07
110302,2.06
110303,5.68
110304,8.17
110305,38.82
110400,10.73
110401,52.71
110402,8.36
110403,8.41
110404,3.62
110405,1.05
110500,38.10
110501,2698.68
110502,1.52
110503,4.86
110504,47.75
110505,5.03
110506,353.00
110507,195.39
110508,323.18
120000,28.11
120100,153.22
120101,504.17
120104,36.14
120105,7.93
120106,16.11
120107,11481.38
120108,2.11
120111,139.00
120112,9.00
120113,12.36
120114,2248.09
120116,56.92
120117,210.04
120119,2069.17
120120,17.27
120121,753.85
120122,44.83
120124,8.30
120125,1002.75
120126,43.16
120127,52.91
120128,23.24
120129,664.39
120130,552.43
120132,459.33
120133,177.28
120134,393.77
120135,8.00
120136,659.75
120200,18.08
120201,857.11
120202,43.21
120203,5.04
120204,22.57
120205,11.65
120206,6.52
120207,37.38
120208,70.38
120209,1.87
120210,221.48
120211,55.28
120212,326.71
120213,105.29
120214,17.14
120215,141.64
120300,32.06
120301,30.21
120302,44.39
120303,26.09
120304,19.61
120305,43.58
120306,5.78
120400,22.21
120401,1790.80
120402,49.81
120403,10.15
120404,210.67
120405,1.64
120406,21.69
120407,144.33
120408,82.30
120409,71.43
120410,170.08
120411,17.44
120412,29.80
120413,77.65
120414,10.30
120415,50.03
120416,123.71
120417,24.40
120418,5.04
120419,5.61
120420,84.75
120421,116.75
120422,26.24
120423,15.93
120424,111.45
120425,34.94
120426,5.06
120427,4.05
120428,115.36
120429,87.75
120430,612.00
120431,17.11
120432,34.60
120433,11.80
120434,428.19
120500,9.30
120501,12.42
120502,30.17
120503,4.87
120504,3.79
120600,10.61
120601,50.65
120602,39.85
120603,36.36
120604,16.09
120605,6.51
120606,14.74
120607,42.87
120608,2.52
120609,6.74
120700,32.59
120701,103.86
120702,96.94
120703,11.72
120704,15.19
120705,25.10
120706,14.66
120707,20.34
120708,6.61
120709,29.43
120800,11.17
120801,36.14
120802,3.75
120803,10.82
120804,0.94
120805,19.38
120806,5.04
120807,1.71
120808,88.88
120809,3.19
120810,12.60
120900,46.32
120901,924.59
120902,89.53
120903,44.92
120904,134.00
120905,974.00
120906,89.12
120907,19.40
120908,177.67
120909,3.47
130000,69.74
130100,548.96
130101,8075.36
130102,5147.59
130103,18631.00
130104,206.05
130105,11825.38
130106,111.06
130107,1497.44
130108,12.99
130109,64.00
130110,10.39
130111,3805.89
130200,43.54
130201,22.28
130202,17.53
130203,97.09
130204,15.11
130205,323.91
130206,27.33
130207,123.90
130208,41.41
130300,8.41
130301,6.01
130302,17.62
130303,5.78
130304,10.87
130305,11.76
130306,8.53
130400,68.67
130401,159.35
130402,36.05
130403,42.91
130500,25.45
130501,55.31
130502,23.39
130503,24.49
130504,12.60
130600,36.88
130601,54.43
130602,35.72
130604,35.07
130605,26.27
130606,15.74
130608,72.78
130610,24.90
130611,30.21
130613,15.52
130614,47.96
130700,91.46
130701,25.30
130702,243.74
130703,81.10
130704,934.16
130705,66.01
130800,18.00
130801,36.84
130802,16.79
130803,38.93
130804,23.79
130805,12.87
130806,27.82
130807,0.90
130808,61.41
130809,19.14
130810,4.45
130811,17.13
130812,21.38
130813,20.48
130900,58.09
130901,157.79
130902,40.31
130903,32.55
130904,78.22
130905,45.35
130906,39.88
130907,26.22
130908,31.08
131000,19.14
131001,17.05
131002,31.44
131003,19.92
131004,24.77
131005,32.94
131006,22.39
131007,17.28
131008,10.45
131100,20.93
131101,28.70
131102,16.88
131103,8.02
131104,26.83
131200,28.72
131201,48.84
131202,18.91
131203,17.47
140000,82.79
140100,243.21
140101,5409.92
140102,25.79
140103,141.09
140104,167.29
140105,5589.21
140106,3134.90
140107,23.28
140108,716.11
140109,11.76
140110,18.02
140111,222.88
140112,665.70
140113,334.98
140114,882.14
140115,37.00
140116,90.85
140117,123.63
140118,315.84
140119,49.44
140120,213.71
140200,61.69
140201,552.08
140202,39.88
140203,31.21
140204,18.95
140205,35.22
140206,500.10
140300,31.28
140301,215.79
140302,17.81
140303,369.00
140304,25.26
140305,176.93
140306,46.27
140307,53.57
140308,8.33
140309,91.59
140310,12.70
140311,337.15
140312,326.07
150000,#N/A
150100,3279.15
